train_acc,train_loss,val_acc,val_loss
0.03762105263157896,4.3795013,0.05120000000000001,4.1141624
0.058252631578947375,4.0774956,0.066,3.9426277
0.07936842105263159,3.9134493,0.08040000000000001,3.883356
0.1081684210526316,3.7351534,0.134,3.5267959
0.13317894736842106,3.5710747,0.13119999999999998,3.549846
0.1594526315789474,3.4309735,0.1748,3.3158088
0.1882105263157895,3.256459,0.21919999999999998,3.0657804
0.21157894736842106,3.1177936,0.20279999999999998,3.206554
0.24004210526315792,2.9820879,0.2648,2.846535
0.2712210526315789,2.8389022,0.2904,2.7379966
0.28652631578947374,2.7421243,0.2528,2.979125
0.30968421052631584,2.6381314,0.33039999999999997,2.5059397
0.3297473684210526,2.543746,0.2972,2.712881
0.3395789473684211,2.487367,0.3336,2.503769
0.35892631578947365,2.389876,0.3696,2.3436863
0.37553684210526317,2.326283,0.33360000000000006,2.486068
0.38861052631578946,2.2644002,0.3692,2.353855
0.4049684210526316,2.1924212,0.3968,2.1869292
0.4148421052631579,2.1555057,0.37479999999999997,2.300618
0.4249473684210527,2.1017137,0.4192,2.090553
0.43978947368421056,2.0467136,0.3844000000000001,2.306745
0.445178947368421,2.0206804,0.4232000000000001,2.1145823
0.4580842105263158,1.9640837,0.45199999999999996,1.9683446
0.4632842105263158,1.9337957,0.392,2.2261817
0.47256842105263164,1.902859,0.46240000000000003,1.981747
0.48381052631578947,1.8528814,0.46,1.9611602
0.4906526315789474,1.8370191,0.3992,2.2220013
0.49692631578947366,1.8036693,0.4792,1.8609719
0.504021052631579,1.7690815,0.4508,1.9730966
0.5083368421052632,1.7554954,0.4584,1.9652159
0.5169894736842106,1.7185225,0.49200000000000005,1.8012874
0.5242736842105262,1.6913738,0.4132,2.2513459
0.5284842105263158,1.6776855,0.4836,1.8512795
0.5370526315789474,1.6342888,0.49959999999999993,1.7960563
0.536421052631579,1.6380699,0.4476,2.0597603
0.5428,1.6121025,0.5172,1.7351732
0.5530947368421053,1.5796806,0.47759999999999997,1.8404434
0.5508631578947369,1.5789213,0.4936,1.8429229
0.5611789473684212,1.541941,0.5152,1.7109523
0.5628210526315789,1.5342675,0.4608,2.0354812
0.566821052631579,1.5110681,0.5075999999999999,1.7403882
0.5758315789473684,1.482768,0.5164,1.763589
0.5732210526315789,1.4903744,0.4936,1.9424438
0.5792421052631579,1.4630593,0.5236,1.7028006
0.5827578947368421,1.4463649,0.478,1.8458873
0.5825473684210527,1.4550632,0.4984,1.8367474
0.5915789473684211,1.4127157,0.5328,1.6588384
0.5950526315789474,1.4019408,0.45880000000000004,2.0806007
0.5929894736842104,1.4044356,0.5344,1.6780007
0.6032,1.3671399,0.5444,1.6833862
0.5995789473684211,1.3817484,0.5064,1.8502715
0.6074315789473684,1.3475524,0.536,1.645807
0.6131578947368421,1.3352048,0.514,1.7453439
0.611578947368421,1.335809,0.5087999999999999,1.7811736
0.6159368421052632,1.3118004,0.5452,1.6459634
0.6192842105263158,1.3094505,0.4799999999999999,2.1312408
0.6229684210526316,1.2937346,0.5384,1.6673433
0.6279368421052631,1.2722477,0.5576,1.6564368
0.624421052631579,1.282811,0.5212,1.8038303
0.6306526315789475,1.2584282,0.5552,1.61614
0.6354105263157895,1.2422489,0.5372,1.7096139
0.6325684210526317,1.24568,0.5236,1.7579372
0.6405894736842106,1.2195708,0.5492000000000001,1.6389699
0.6388421052631579,1.2205716,0.49439999999999995,1.9508488
0.641936842105263,1.2190301,0.5568,1.617843
0.6501894736842104,1.1950259,0.5512,1.668227
0.647978947368421,1.1948475,0.5004,1.8568649
0.6508421052631579,1.1785002,0.5616,1.6105583
0.6544631578947369,1.1662179,0.5216000000000001,1.7723038
0.6550315789473684,1.1715744,0.52,1.8366916
0.6587789473684211,1.154393,0.5760000000000001,1.5776582
0.6599368421052633,1.1360148,0.5252,1.866635
